city;subject;shop_id;latitude;longitude;distance_adm_cent;count_population;pop_dens;count_shop_id_city;dist_shop_id;count_shop_id_km;dist_competitor_1;dist_competitor_2;dist_competitor_3;dist_competitor_4;min_dist_tertiary;min_dist_secondary;min_dist_road;min_dist_primary;min_dist_footway;n_traffic_signals;min_dist_traffic_signals;n_parking_space;min_dist_parking_space;min_dist_parking;n_parking_entrance;min_dist_parking_entrance;n_parking;n_bus_stop;min_dist_bus_stop;n_tram_stop;min_dist_tram_stop;n_apartments;min_dist_apartments;n_house;min_dist_house;n_residential;min_dist_residential;n_dormitory;min_dist_dormitory;n_terrace;min_dist_terrace;n_industrial;min_dist_industrial;n_office;min_dist_office;n_cinema;min_dist_cinema;n_marketplace;min_dist_marketplace;n_restaurant;min_dist_restaurant;n_nightclub;min_dist_nightclub;n_university;min_dist_university;n_college;min_dist_college;n_fast_food;min_dist_fast_food;n_food_court;min_dist_food_court;n_bank;min_dist_bank;n_fuel;min_dist_fuel;sale_k
Октябрьский Башкирия;Республика Башкортостан;0;54.48;53.47;2.8263432795104824;113929;23090.735698801363;13;355.72556701006107;3;412.45612413642937;438.28634872198796;10000.0;10000.0;143.83313707887908;330.2720418069834;0.0;57.8427101769104;58.910214112901755;8.0;147.35736031423343;0.0;0.0;825.779443962091;0.0;0.0;2.0;8.0;170.1861383235053;0.0;0.0;177.0;13.120627661087253;629.0;413.65489845255814;36.0;379.0454691442151;4.0;569.7812464402488;0.0;0.0;0.0;1353.1199388185255;1.0;925.7717509893263;1.0;289.8556762693965;0.0;0.0;4.0;121.16286722579993;0.0;3615.188167457104;2.0;681.3343705706452;2.0;290.4655627468786;3.0;219.4099792679165;0.0;0.0;8.0;85.31134398523413;1.0;784.5482781601132;1
Липецк;Липецкая область;1;52.59;39.54;0.1405350953498771;509735;5892.641538319006;49;373.50151636841804;5;578.1991882286773;245.45001252414949;499.377340714919;10000.0;216.53204969206183;314.25341762994566;3296.6673363226178;2458.536820517301;148.34070247289984;10.0;519.4384710008586;0.0;0.0;272.8531112047666;0.0;2646.62416828616;26.0;29.0;305.94182243482135;1.0;803.5244003622183;62.0;278.8881639215913;4.0;962.3050248181364;1.0;374.38893477782494;1.0;884.4671844025645;0.0;0.0;0.0;1742.2820944230973;0.0;1709.9959562824986;1.0;307.7714374200683;1.0;514.1559697885161;1.0;927.8388852909436;2.0;441.14064428079763;0.0;1619.1016708720279;10.0;645.614911015518;4.0;605.5945494957392;0.0;0.0;9.0;341.639113874436;1.0;205.71002669752392;1
Миасс;Челябинская область;2;55.14;60.16;1.3944443766651262;151673;6134.359515339212;30;813.83808719262;2;729.1051407214545;507.8346941367654;10000.0;10000.0;334.88866905346583;8746.533094024859;0.0;492.27499904700545;82.44109384232941;2.0;493.8255917279142;0.0;0.0;252.44607526561344;0.0;0.0;20.0;6.0;482.5104848564246;0.0;0.0;131.0;90.36569831742096;0.0;1729.496402996279;1.0;814.3575372343305;0.0;0.0;0.0;10999.71265046886;6.0;425.82177006942726;1.0;512.4458739451204;0.0;10819.978910273629;1.0;644.7916979830587;1.0;413.2623172502432;0.0;10563.404596645407;1.0;667.7699360290835;2.0;761.8658007403477;4.0;541.1811015505008;0.0;0.0;2.0;575.1332385454413;0.0;1109.6790977524956;0
Ижевск;Республика Удмуртия;3;56.84;53.29;0.057143020921198884;648213;;56;746.5070696211808;4;499.9949999997031;662.6665977675644;10000.0;10000.0;910.176884865621;385.48487582510177;5104.301920308529;256.3944689445094;107.5630538265744;4.0;553.1988541631537;0.0;0.0;190.6262664750432;0.0;4315.094956280689;49.0;19.0;254.6070109796324;0.0;1350.9429863591956;44.0;334.4152059560997;12.0;306.1467564596239;6.0;442.10182341940316;0.0;1827.739763544476;0.0;0.0;15.0;6.001680741152617;2.0;780.8092688510852;0.0;3235.993337878613;1.0;349.7070768989427;0.0;3581.9916254565314;1.0;795.4716013707622;0.0;1025.5378070493277;0.0;1461.988145346582;3.0;320.69864130930597;0.0;5924.810409209633;10.0;211.29171706373265;3.0;472.3798661622404;0
Туймазы;Республика Башкортостан;4;54.6;53.7;2.5809843089805975;68410;24960.514031339964;9;520.7966428820545;4;824.4631534681241;137.43547981829744;10000.0;10000.0;42.074540550509774;161.87933283385118;5757.048471330962;0.0;288.98607307958736;7.0;194.54941538512367;0.0;0.0;313.4965253582195;0.0;0.0;7.0;0.0;1289.4080605911413;0.0;0.0;122.0;2.855849451230109;0.0;1053.709057841731;1.0;921.5492792820261;1.0;899.757342446372;0.0;0.0;0.0;2619.479880279837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1318.9405288626485;0.0;0.0;0.0;1492.859156547308;0.0;1143.235549483214;0.0;0.0;0.0;0.0;2.0;573.8630775851137;1.0;603.3912746748576;0
Челябинск;Челябинская область;5;55.24;61.3;0.2487468530092272;1202371;1876.6939878906808;198;373.3362136318121;2;342.28372825631317;10000.0;10000.0;10000.0;257.2189260620469;343.0344861177652;7532.794391950038;3674.627430928956;318.71564250679523;0.0;1939.3003979631906;0.0;0.0;390.0237885790688;0.0;0.0;4.0;0.0;1556.742927741671;0.0;4691.438803114299;6.0;264.89096549344;0.0;2673.3227174635667;0.0;3093.7273419802173;0.0;6614.285962403582;0.0;4616.892853401766;0.0;1518.0915458757104;0.0;4358.326861408329;0.0;4888.876079137837;0.0;1991.9754134915875;0.0;4866.207161314457;0.0;4057.075420757229;0.0;4520.876689922855;0.0;4186.055606743004;0.0;3401.648307891188;0.0;8125.358138066906;0.0;4618.267992263059;0.0;1125.924013221673;1
Уфа;Республика Башкортостан;6;54.7;56.0;0.30415844008839815;1120547;59868.6356556866;80;655.6431542558613;2;10000.0;109.4306590358622;10000.0;10000.0;40.87596615566214;276.48266164937235;1304.9332797079626;1060.1377069193643;18.392052892371872;7.0;276.48266164901867;0.0;0.0;200.47022106536141;0.0;4469.65135321036;9.0;18.0;18.392052893432353;0.0;1806.5174119854544;98.0;49.724629245618715;5.0;739.7953993083313;2.0;424.1762508236033;0.0;2329.459111882869;0.0;0.0;2.0;562.5427074375083;0.0;3213.089904294399;0.0;4733.810271649428;2.0;623.0543429232155;1.0;872.2715964358583;0.0;4958.06361331439;2.0;300.01531641623484;0.0;2477.447465351675;1.0;216.2031815547411;0.0;4944.462572038929;10.0;135.65360749892017;2.0;664.9563880837733;2
Уфа;Республика Башкортостан;7;54.75;55.95;0.3288780768917406;1120547;28129.169349752134;80;268.7392375241437;4;311.1080000000644;689.6879720663429;10000.0;10000.0;67.92856727615826;454.298834425485;779.798472481326;1343.6090382711536;67.32599407090605;4.0;328.7689112718916;0.0;0.0;251.44980963228215;0.0;1949.6821017301238;6.0;20.0;270.40902809937376;8.0;295.7017969632073;20.0;269.0518158794107;216.0;14.358793202239404;3.0;183.58214898012142;0.0;1647.8774659167498;0.0;0.0;12.0;282.76855211641583;0.0;2246.3333745044392;0.0;1986.2522246032827;0.0;1127.8304714587375;1.0;623.0715717335969;0.0;1469.5785836700013;0.0;1775.7808490583652;0.0;1091.2852115871203;1.0;927.37160538281;0.0;2467.23008521791;2.0;543.6846183132192;0.0;1466.0552689060773;2
Асбест;Свердловская область;8;57.0;61.46;0.585625758163868;64091;27868.546966433754;9;591.497714040459;3;10000.0;339.2041084236211;10000.0;10000.0;51.83759338848319;1135.3580702690374;2482.318809483343;1376.1870108033813;48.50420606922578;4.0;193.5105453774256;0.0;0.0;359.53206353631776;0.0;0.0;11.0;7.0;31.73237639859729;0.0;0.0;79.0;102.28998828048496;432.0;470.00215559850824;38.0;62.147632841722256;0.0;0.0;0.0;0.0;0.0;1674.634415979028;0.0;1613.9712337724766;1.0;953.3260837901273;0.0;0.0;0.0;1299.7183051896359;0.0;0.0;0.0;0.0;5.0;306.98163788765066;0.0;1533.8350241310736;0.0;0.0;4.0;114.89405627756314;1.0;889.2973632461444;1
Иваново;Ивановская область;9;56.97;40.98;0.08754364068851687;1014646;46433.414582674675;33;694.5930365818006;3;646.8281795570821;862.9463855138836;10000.0;10000.0;51.82099785513049;712.0702356935474;0.0;813.7069615880298;117.89854230120224;11.0;153.76695329743427;0.0;0.0;357.0373356539897;0.0;3792.379045572383;15.0;17.0;136.8138332035931;0.0;0.0;257.0;8.518885071155921;321.0;244.39571216061657;1.0;512.6634631147979;0.0;1288.2503691820116;0.0;0.0;0.0;1243.3042780713918;0.0;2258.4589722294713;1.0;409.74541799014366;0.0;1864.366762172897;2.0;149.4342164207207;0.0;2760.597702141037;2.0;835.2369255566177;1.0;696.7026581184175;3.0;866.6877508076227;0.0;3758.192916787119;7.0;93.14381022455782;1.0;975.6701753371367;1
Сарапул;Республика Удмуртия;10;56.44;53.75;0.6182134067237705;97910;;13;786.6870477981395;2;10000.0;398.2948687656876;10000.0;10000.0;656.1794610241798;105.45339144576559;975.4846760145256;658.8861448499448;209.13523354299969;3.0;697.4549541027727;0.0;0.0;1323.6166265951788;0.0;0.0;0.0;12.0;51.765068825848104;0.0;0.0;67.0;2.7900836543928684;10.0;323.8420376431146;0.0;6363.748587526067;0.0;0.0;0.0;0.0;1.0;465.9234182408684;0.0;0.0;1.0;731.8048204306157;0.0;3600.575716696683;0.0;4926.501022201276;0.0;4515.876090422;0.0;4650.798494572528;1.0;581.2550799095433;0.0;3556.871237206293;0.0;0.0;1.0;273.8359549467424;1.0;693.5208158464097;0
