iter	CrossEntropy
0	0.6747265922
1	0.6596828079
2	0.6479130264
3	0.6363921553
4	0.6273379912
5	0.6191953587
6	0.6115089023
7	0.6053984508
8	0.600680515
9	0.595186352
10	0.5897307998
11	0.5854378608
12	0.5812302457
13	0.5776329898
14	0.5745811019
15	0.5710093448
16	0.5688405051
17	0.5674987668
18	0.5650156512
19	0.5631767022
20	0.561344787
21	0.5590398217
22	0.5573622377
23	0.5559773202
24	0.5546122803
25	0.5534194019
26	0.5520462674
27	0.5503397834
28	0.5495643525
29	0.5484749139
30	0.5474532343
31	0.5466293649
32	0.5455020988
33	0.5445336378
34	0.5440615339
35	0.5431288005
36	0.5424699154
37	0.5414232631
38	0.5408868432
39	0.5402721247
40	0.53969496
41	0.5391970729
42	0.5385050237
43	0.5377459019
44	0.5371368405
45	0.5364333823
46	0.5360315086
47	0.5355438105
48	0.5345781324
49	0.5340477977
50	0.5335322327
51	0.533102786
52	0.5326603128
53	0.5321730936
54	0.5315742632
55	0.531284986
56	0.5311552298
57	0.5308487933
58	0.5302358927
59	0.5299617368
60	0.5297797915
61	0.5294168553
62	0.5289995568
63	0.5286102778
64	0.5279268663
65	0.5274695895
66	0.5269783203
67	0.5264838769
68	0.5260524987
69	0.5256315444
70	0.5252631366
71	0.524736644
72	0.5244340925
73	0.5241538166
74	0.5241133795
75	0.5238300881
76	0.523494064
77	0.5225498813
78	0.522245341
79	0.5219458879
80	0.5219403231
81	0.5216129018
82	0.5212492069
83	0.5207338239
84	0.5204834183
85	0.5200175994
86	0.5194918199
87	0.518947498
88	0.5184624789
89	0.5180246842
90	0.5176836218
91	0.5175729211
92	0.5172538017
93	0.51656988
94	0.5164151975
95	0.5161544577
96	0.5157178444
97	0.5154471214
98	0.5151273556
99	0.514818643
100	0.51459763
101	0.5144104803
102	0.5142666932
103	0.514079663
104	0.5135799049
105	0.5130722218
106	0.5127537005
107	0.5124032782
108	0.5120166274
109	0.5116253486
110	0.5113325484
111	0.5111766589
112	0.510951207
113	0.5107862798
114	0.5104053318
115	0.5098807082
116	0.5096057048
117	0.5093293714
118	0.5088455254
119	0.5085868079
120	0.5082227637
121	0.5081472533
122	0.507969117
123	0.5076899586
124	0.5074122963
125	0.5069849839
126	0.5065149243
127	0.5060427359
128	0.5055653877
129	0.5051157018
130	0.5046170655
131	0.5042636189
132	0.5039022162
133	0.5031462832
134	0.5027873666
135	0.5021992878
136	0.501970001
137	0.5014376572
138	0.5012283815
139	0.5008112216
140	0.5004983088
141	0.5000844479
142	0.4999147288
143	0.4996587968
144	0.4990651189
145	0.4987748771
146	0.4985241405
147	0.4980439636
148	0.4976622913
149	0.4972997648
150	0.4969500609
151	0.4964501998
152	0.4962717888
153	0.4960253199
154	0.4956079583
155	0.4954558766
156	0.4952375397
157	0.4951733784
158	0.495025261
159	0.4946818496
160	0.4946435269
161	0.4944108764
162	0.494206321
163	0.4939233898
164	0.4934762067
165	0.4931342277
166	0.4929764626
167	0.4925989548
168	0.4922720912
169	0.492016338
170	0.4916558954
171	0.4913247385
172	0.4910439183
173	0.4904663093
174	0.4902413761
175	0.4901038036
176	0.4896410896
177	0.4891042087
178	0.4889910689
179	0.4883839234
180	0.4880795174
181	0.4880766887
182	0.4878428259
183	0.4876586941
184	0.4874793631
185	0.4874723655
186	0.4872440382
187	0.487030916
188	0.4865722311
189	0.4864679732
190	0.4862780084
191	0.4861196039
192	0.4858366441
193	0.4854598658
194	0.4848714796
195	0.4848636148
196	0.4847283773
197	0.4842950432
198	0.4841848029
199	0.4840114927
200	0.4837775387
201	0.4836052596
202	0.4835205693
203	0.4831769965
204	0.4829786148
205	0.4821977185
206	0.4819414451
207	0.4817741556
208	0.4816674721
209	0.4814631185
210	0.4812802276
211	0.4805350757
212	0.4800500037
213	0.4795631258
214	0.4792828624
215	0.4789653799
216	0.4786991108
217	0.4786068642
218	0.4783756096
219	0.4782586502
220	0.4779561346
221	0.4776153459
222	0.4775963155
223	0.4772470886
224	0.4766884695
225	0.4765162968
226	0.4763769656
227	0.4761816969
228	0.4757466481
229	0.475144863
230	0.4748808754
231	0.4748157159
232	0.4744838896
233	0.4744305062
234	0.4742537676
235	0.474167345
236	0.4738393215
237	0.4736840434
238	0.4733557813
239	0.4730160202
240	0.4728005182
241	0.4726756762
242	0.4724835809
243	0.4720813014
244	0.4714083746
245	0.4712557522
246	0.4711607451
247	0.4708260132
248	0.4706207331
249	0.4700484755
250	0.4698292965
251	0.4697205052
252	0.4695532364
253	0.4694468218
254	0.4692921983
255	0.4691146313
256	0.4689815758
257	0.4689224501
258	0.4688046931
259	0.4682980837
260	0.4677884515
261	0.4674567516
262	0.4671208569
263	0.4669542572
264	0.466734991
265	0.4664865634
266	0.4661766413
267	0.465938859
268	0.4658298853
269	0.4654574261
270	0.4646728961
271	0.4642528727
272	0.463943891
273	0.4637810667
274	0.4636138673
275	0.4634513539
276	0.4632796375
277	0.4629681229
278	0.4627570431
279	0.4624165661
280	0.4620885816
281	0.462018551
282	0.4617988625
