iter	Passed	Remaining
0	127	127634
1	169	84384
2	213	70927
3	258	64397
4	308	61304
5	352	58345
6	396	56279
7	441	54756
8	479	52792
9	519	51450
10	565	50868
11	611	50309
12	647	49141
13	702	49444
14	757	49740
15	806	49596
16	862	49887
17	912	49757
18	953	49231
19	1002	49121
20	1050	48985
21	1093	48612
22	1140	48451
23	1188	48347
24	1237	48256
25	1286	48185
26	1333	48061
27	1378	47861
28	1420	47562
29	1463	47308
30	1501	46930
31	1535	46433
32	1567	45923
33	1605	45620
34	1651	45533
35	1688	45215
36	1730	45039
37	1775	44940
38	1821	44883
39	1866	44801
40	1909	44662
41	1953	44568
42	1998	44468
43	2042	44368
44	2085	44267
45	2133	44256
46	2182	44253
47	2229	44213
48	2275	44156
49	2322	44135
50	2374	44178
51	2423	44187
52	2459	43952
53	2500	43811
54	2548	43793
55	2584	43573
56	2627	43470
57	2672	43412
58	2718	43350
59	2756	43183
60	2789	42933
61	2831	42842
62	2877	42801
63	2922	42745
64	2972	42764
65	3017	42695
66	3062	42648
67	3108	42599
68	3157	42603
69	3209	42639
70	3263	42707
71	3312	42695
72	3365	42740
73	3412	42700
74	3454	42606
75	3507	42642
76	3556	42628
77	3615	42742
78	3662	42698
79	3708	42647
80	3730	42329
81	3777	42289
82	3827	42290
83	3875	42265
84	3913	42132
85	3961	42099
86	4009	42078
87	4070	42181
88	4124	42219
89	4178	42250
90	4227	42227
91	4259	42043
92	4302	41958
93	4350	41927
94	4395	41874
95	4441	41822
96	4489	41796
97	4535	41746
98	4582	41702
99	4631	41686
100	4680	41658
101	4738	41714
102	4787	41689
103	4834	41646
104	4876	41566
105	4918	41479
106	4963	41420
107	5007	41360
108	5056	41332
109	5106	41312
110	5146	41221
111	5191	41163
112	5235	41093
113	5279	41028
114	5320	40943
115	5360	40848
116	5394	40711
117	5444	40696
118	5489	40637
119	5537	40610
120	5583	40562
121	5627	40499
122	5671	40437
123	5719	40404
124	5764	40352
125	5811	40314
126	5857	40261
127	5901	40203
128	5950	40180
129	5996	40130
130	6051	40142
131	6097	40098
132	6144	40054
133	6177	39920
134	6220	39857
135	6268	39821
136	6312	39764
137	6358	39717
138	6402	39659
139	6446	39600
140	6484	39506
141	6529	39452
142	6571	39384
143	6616	39332
144	6660	39273
145	6702	39203
146	6746	39146
147	6794	39113
148	6842	39082
149	6892	39055
150	6938	39014
151	6986	38979
152	7036	38954
153	7091	38955
154	7142	38937
155	7189	38898
156	7250	38933
157	7301	38909
158	7353	38897
159	7409	38897
160	7446	38805
161	7504	38819
162	7567	38856
163	7639	38941
164	7714	39040
165	7767	39025
166	7823	39022
167	7870	38977
168	7913	38910
169	7968	38905
170	8014	38852
171	8062	38812
172	8114	38790
173	8162	38749
174	8210	38706
175	8259	38669
176	8303	38610
177	8351	38565
178	8398	38521
179	8446	38477
