id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA,year,win_team
0,25524,30668,27293,37787,25565,30598,30749,30987,21164,30496,30764,36029,25948,27425,26588,39997,36057,14533,27412,29257,36390,31936,1.44,4.2,7.5,1.4,4.15,7.0,1.4,4.0,6.5,1.44,3.6,6.5,0.0,0.0,0.0,1.4,3.75,7.0,1.4,4.33,8.5,1.45,3.75,6.5,1.44,3.75,8.0,1.44,3.75,7.0,2008,1
1,41671,18823,25526,46078,25587,181995,175646,177874,50189,32748,39540,37503,22283,18880,26223,33816,166509,15732,39487,36121,42437,39232,1.91,3.3,4.5,1.85,3.3,4.4,1.9,3.3,4.0,1.85,3.4,4.2,1.93,3.58,4.46,1.95,3.1,4.5,0.0,0.0,0.0,1.87,3.4,4.75,0.0,0.0,0.0,0.0,0.0,0.0,2016,0
2,46704,193807,426878,185625,426873,79747,25560,39999,278341,179866,30679,46705,202633,26138,128456,26399,355901,93466,154233,210142,40659,18576,2.4,3.1,3.2,2.5,3.1,2.85,2.5,3.15,2.75,2.4,3.1,3.1,2.49,3.12,3.3,2.5,3.0,3.1,0.0,0.0,0.0,2.45,3.12,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2015,0
3,41301,166679,280083,33605,426174,181054,240478,39578,521204,289251,277444,185618,36849,210138,281861,293003,522746,559063,39871,418105,145061,277335,1.57,3.8,6.0,1.55,4.0,5.75,0.0,0.0,0.0,1.57,3.8,5.5,1.66,3.92,5.79,1.6,3.75,5.0,0.0,0.0,0.0,1.62,3.9,5.75,0.0,0.0,0.0,0.0,0.0,0.0,2015,1
4,69650,32870,30890,30602,93484,29581,182223,78324,30352,184360,23264,32496,24658,24531,40132,111930,115681,24656,21864,357880,212714,8922,2.3,3.3,3.5,2.35,3.1,3.1,2.1,3.3,3.3,2.25,3.2,3.6,2.33,3.16,3.63,2.38,2.88,3.4,2.2,3.2,3.5,2.3,3.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
5,26335,165583,156716,291642,173955,292888,40657,201939,290022,26199,112012,30900,210683,46448,46892,112935,154232,184591,94321,154229,131991,181197,2.1,3.2,3.6,2.2,3.1,3.4,2.2,3.1,3.3,2.25,3.2,3.2,2.2,3.29,3.75,2.1,3.25,3.6,2.1,3.2,3.4,2.2,3.25,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2013,0
6,30742,26154,77741,56916,26107,32575,26160,107417,35407,37950,26332,41301,41315,40016,89475,41216,56972,26051,180292,111787,40758,41240,1.44,4.0,8.0,1.48,3.9,6.75,1.4,4.1,7.0,1.4,3.75,7.0,0.0,0.0,0.0,1.44,4.2,7.5,1.44,4.0,7.5,1.5,4.2,8.0,1.45,3.75,7.5,1.44,3.8,7.5,2011,1
7,46531,31303,45237,37427,38025,45749,2805,214449,282470,215927,96652,113695,185123,230993,70812,40599,107930,182928,150872,37441,30663,58294,1.95,3.5,3.75,1.95,3.6,3.6,2.0,3.3,3.3,2.0,3.4,3.0,1.96,3.58,4.32,2.0,3.2,4.0,2.0,3.4,3.8,1.95,3.7,3.9,1.95,3.6,3.6,2.0,3.4,3.6,2012,1
8,210164,41122,33812,26118,26216,46243,38253,564856,155623,42693,213319,11319,191788,30457,94549,147614,148830,67890,231199,290022,70074,39139,3.0,3.2,2.5,2.95,3.1,2.62,3.1,3.1,2.3,3.1,3.0,2.4,2.97,3.06,2.73,2.9,3.0,2.62,0.0,0.0,0.0,3.0,3.1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
9,27433,36035,40093,24167,27436,27349,425962,212875,115847,194533,177720,114737,26618,27425,26660,240348,37319,243829,114650,35997,215170,95094,2.5,3.3,2.8,2.35,3.4,2.9,2.3,3.2,3.0,2.37,3.4,2.87,2.56,3.37,3.0,2.5,3.3,2.8,2.38,3.3,2.8,2.5,3.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2013,0
10,186054,77690,11736,24216,24846,101192,24006,32705,215384,193859,181276,35496,425255,114268,26552,362694,23792,46008,279490,37234,109491,39225,1.83,3.7,4.75,1.8,3.4,4.5,1.75,3.5,4.5,1.8,3.5,4.5,1.85,3.73,4.69,1.83,3.4,4.5,1.8,3.6,4.5,1.87,3.7,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2013,1
11,33018,33756,70891,34104,41167,30271,37449,37447,37441,31045,37452,33731,74403,74404,74663,37622,37419,38581,75239,46384,45605,75310,2.0,3.3,3.75,1.9,3.25,3.75,1.8,3.4,4.3,1.8,3.2,4.0,0.0,0.0,0.0,2.0,3.4,3.75,2.0,3.4,3.75,1.9,3.3,3.75,1.95,3.35,3.75,1.91,3.4,3.6,2009,1
12,11336,280134,179783,419238,36849,26078,105680,280968,364813,38777,120110,305248,291929,5272,201102,257843,213799,32760,561604,512730,94008,277772,1.8,3.75,4.2,1.75,3.7,4.33,1.75,3.5,4.5,1.75,3.6,4.33,1.8,3.91,4.7,1.75,3.75,4.0,0.0,0.0,0.0,1.75,3.9,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2015,0
13,30859,31306,23783,52133,46010,25923,30675,51553,41468,30679,30822,25156,11736,41071,111865,35472,101192,28901,38254,106228,49825,41061,1.25,6.0,12.0,1.25,5.5,11.5,1.22,5.3,11.0,1.25,5.5,12.0,0.0,0.0,0.0,1.29,5.0,12.0,1.29,5.25,12.0,1.3,5.75,13.0,1.25,5.5,11.0,1.22,5.5,13.0,2012,1
14,39567,30906,27679,40621,19352,40686,37541,27599,33816,96540,27657,27658,42308,73841,24792,199833,41930,190872,41475,39450,73845,32749,1.91,3.4,4.0,1.88,3.3,4.25,1.75,3.4,4.3,1.91,3.4,4.0,0.0,0.0,0.0,1.85,3.5,4.2,1.83,3.5,4.33,1.95,3.5,4.33,1.85,3.25,4.25,1.85,3.3,4.2,2012,1
15,210164,41122,156716,26216,42693,131991,155623,38253,40758,40197,564856,41097,26162,41198,159882,26236,264085,35499,26238,179845,26374,46349,3.6,3.1,2.25,3.3,3.1,2.25,3.2,3.2,2.2,3.5,3.2,2.2,3.6,3.18,2.32,3.2,3.2,2.3,0.0,0.0,0.0,3.7,3.13,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2015,1
16,17869,198099,72543,69030,13551,9086,277935,196824,212896,34264,14658,32633,36641,94419,178435,429655,179375,429659,69258,31325,13383,141733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1
17,75195,75199,75206,38561,74435,75216,38008,150498,38550,38526,102002,30657,30962,25921,34520,30670,30834,23988,18814,30878,30655,25759,6.5,3.6,1.57,6.35,3.5,1.52,5.5,3.5,1.55,4.5,3.5,1.62,0.0,0.0,0.0,5.5,3.5,1.53,6.0,3.75,1.6,6.0,3.4,1.55,6.0,3.6,1.6,5.5,3.6,1.62,2009,0
18,26002,560852,62358,109649,299572,26539,438572,304000,503629,37139,26675,47532,31731,109647,212370,101042,279107,42704,417818,45860,20645,243500,1.36,5.25,7.0,1.34,5.0,7.5,1.35,4.5,7.3,1.4,4.75,7.0,1.45,4.97,7.38,1.29,5.0,8.5,0.0,0.0,0.0,1.4,5.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2016,0
19,112978,13518,71399,36388,94685,178818,303912,27427,73167,129944,144993,41087,116645,169569,78314,80229,240367,212915,179491,469763,204169,69008,1.14,8.5,17.0,1.14,7.75,15.5,1.15,7.0,15.0,1.13,9.0,21.0,1.14,10.0,21.5,1.14,7.5,21.0,0.0,0.0,0.0,1.12,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,1
20,27667,155268,50055,39732,42650,37499,40757,26784,39539,37457,25337,35644,30906,27679,37508,27693,46374,30940,73034,37541,109121,40686,2.75,3.1,2.63,2.6,3.1,2.65,2.5,3.1,2.8,2.4,3.0,2.7,0.0,0.0,0.0,2.6,3.0,2.62,2.7,3.1,2.7,2.75,3.0,2.62,2.7,3.0,2.65,2.6,3.1,2.62,2010,1
21,50065,93485,157288,26155,150869,210128,33128,210122,67890,210406,18734,185618,165583,156716,41121,291642,40657,496285,147351,132809,112012,26199,1.83,3.25,4.75,1.78,3.3,5.0,1.8,3.4,4.35,1.83,3.4,4.5,1.83,3.44,5.27,1.8,3.5,4.5,1.8,3.5,4.33,1.83,3.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1
22,37193,121642,26503,26671,40863,26781,67958,110156,17761,116750,46104,184621,37180,23144,26709,110146,21657,45483,104002,42706,112119,78409,1.25,5.25,13.0,1.3,4.55,8.75,1.2,5.0,10.0,1.22,5.0,10.0,0.0,0.0,0.0,1.25,5.0,11.0,1.25,5.0,13.0,1.22,5.0,13.0,1.3,4.75,8.5,1.25,5.0,10.0,2010,1
23,30455,46403,30354,38697,40006,23760,34182,24656,25421,31097,23949,30660,37442,30617,25984,414792,37139,30618,38818,30889,37920,24635,3.5,3.3,2.1,3.65,3.2,1.95,3.2,3.1,2.1,3.2,3.2,2.0,0.0,0.0,0.0,3.5,3.3,2.1,3.6,3.4,2.05,3.35,3.5,2.15,3.6,3.35,2.05,3.4,3.2,2.1,2008,1
24,37623,12766,22928,257855,213695,73078,102612,369800,196188,37654,40958,37656,213814,193223,172147,99333,74747,75004,270774,165607,43372,10348,2.0,3.5,3.6,2.0,3.5,3.6,2.0,3.5,3.4,2.15,3.5,3.2,2.12,3.63,3.66,2.15,3.1,3.6,2.1,3.4,3.5,2.1,3.5,3.6,2.0,3.5,3.6,2.05,3.3,3.4,2013,1
25,178778,240837,10950,66929,23587,37087,188498,27512,27352,16678,46700,27358,13518,20396,36388,94685,178818,30707,43319,144993,94652,93447,5.5,4.0,1.57,5.75,3.7,1.6,5.0,3.6,1.6,6.0,3.8,1.57,0.0,0.0,0.0,5.5,4.0,1.6,6.5,3.75,1.57,6.5,4.2,1.57,6.0,3.75,1.55,5.5,4.0,1.57,2011,0
